path/reftime,path/ref,path/kind,path/collection,path/key,value/stats/rmsAll,value/stats/eda,value/stats/rmsLimb,value/timestamp,value/RR_LA/y,value/RR_LA/tempSkin,value/RR_LA/id,value/RR_LA/timestamp,value/RR_LA/z,value/RR_LA/tempAmb,value/RR_LA/eda,value/RR_LA/x,value/RR_LA/rms,value/accel/x,value/accel/z,value/accel/y,value/accel/timestamp,value/accel/rms,value/battery,value/device_id,value/audio/peak,value/audio/filtered,value/audio/average,value/audio/timestamp,value/RR_RL/y,value/RR_RL/tempSkin,value/RR_RL/id,value/RR_RL/timestamp,value/RR_RL/z,value/RR_RL/tempAmb,value/RR_RL/eda,value/RR_RL/x,value/RR_RL/rms,value/RR_LL/y,value/RR_LL/tempSkin,value/RR_LL/id,value/RR_LL/timestamp,value/RR_LL/z,value/RR_LL/tempAmb,value/RR_LL/eda,value/RR_LL/x,value/RR_LL/rms,value/RR_RA/y,value/RR_RA/tempSkin,value/RR_RA/id,value/RR_RA/timestamp,value/RR_RA/z,value/RR_RA/tempAmb,value/RR_RA/eda,value/RR_RA/x,value/RR_RA/rms,reftime,value/location/velocity,value/location/distance,value/location/lon,value/location/timestamp,value/location/accuracy,value/location/lat,value/heartrate/hr,value/heartrate/id,value/heartrate/timestamp,value/heartrate/hrv1,value/heartrate/hrv2
1443223685206,e8cb2120009f954b,item,IP6_BEACON_20,1443223684664,0.5833244984263186,0.7462250789818228,0.5842724970124668,1443223684.663954,0.03125,12.27401,LWBAND-39EC,1443223684.613441,1,22,0.7493802625228936,0,0.5776321097088238,-0.0031890869140625,-1.003677368164062,-0.01397705078125,1443223684.614978,0.5795325040817261,100,IP6_BEACON_20,117.3229064941406,-0.8890228271484375,105.7869338989258,1443223684.656321,-0.03125,12.894,LWBAND-42E2,1443223684.570866,1.03125,23,0.7489694180807209,0,0.5956657689789915,0,11.73117,LWBAND-3D1E,1443223684.57724,1,22,0.7461060724081021,-0.015625,0.577420742216338,0,9.867455,LWBAND-408D,1443223684.650153,1.015625,23,0.7404445629155745,0,0.5863713671457137,1443223685206,,,,,,,,,,,
1443223685210,82798e6f60dee77d,item,IP6_BEACON_20,1443223684665,0.5955291327186829,0.7424566405321928,0.5955291327186829,1443223684.664951,,,,,,,,,,,,,,,100,IP6_BEACON_20,,,,,-0.015625,13.43613,LWBAND-42E2,1443223684.655889,1.03125,23,0.7424566405321928,-0.015625,0.5955291327186829,,,,,,,,,,,,,,,,,,,1443223685210,,,,,,,,,,,
1443223685213,d954e9cd939441bb,item,IP6_BEACON_20,1443223684764,0.5852723237251909,0.7408635973377931,0.5865112240582296,1443223684.76398,0.015625,12.58407,LWBAND-39EC,1443223684.704294,1,22,0.7448856153649045,-0.03125,0.5777025483542547,-0.0016632080078125,-1.005035400390625,-0.0142669677734375,1443223684.732443,0.5803167223930359,100,IP6_BEACON_20,115.6510696411133,-2.506721496582031,104.0740356445312,1443223684.756175,0,13.43613,LWBAND-42E2,1443223684.745926,1.03125,23,0.7428603689936024,-0.015625,0.5954608028311631,0,12.58407,LWBAND-3D1E,1443223684.670819,1.03125,22,0.7404445629155745,-0.015625,0.5954608028311631,0,10.56681,LWBAND-408D,1443223684.739676,1,23,0.735263842077091,0.015625,0.577420742216338,1443223685213,,,,,,,,,,,
1443223685216,c3110d84bf32fbbb,item,IP6_BEACON_20,1443223684765,0.5863713671457137,0.7404445629155745,0.5863713671457137,1443223684.764867,,,,,,,,,,,,,,,100,IP6_BEACON_20,,,,,,,,,,,,,,0,12.73904,LWBAND-3D1E,1443223684.758295,1.015625,22,0.7404445629155745,0,0.5863713671457137,,,,,,,,,,1443223685216,,,,,,,,,,,
1443223685218,50de95b91ce2783f,item,IP6_BEACON_20,1443223684864,0.5728958387575207,0.7402726995993167,0.5684365539851275,1443223684.864206,0.015625,12.58407,LWBAND-39EC,1443223684.79343,0.984375,22,0.7448856153649045,-0.015625,0.5684723452303257,-0.001861572265625,-1.00762939453125,-0.0142669677734375,1443223684.849966,0.5818144083023071,100,IP6_BEACON_20,113.4219512939453,-4.583183288574219,104.0591278076172,1443223684.855775,,,,,,,,,,,,,,,,,,,-0.015625,10.48914,LWBAND-408D,1443223684.831981,0.984375,23,0.7356597838337291,0,0.5684007627399292,1443223685218,,,,,,,,,,,
1443223685223,7ce27be9fc16b76a,item,IP6_BEACON_20,1443223684964,0.5781761732992866,0.7458176766448983,0.5775440592687997,1443223684.964028,0.015625,12.35154,LWBAND-39EC,1443223684.91358,1,22,0.7489694180807209,-0.015625,0.5774912066430102,-0.0027008056640625,-1.005706787109375,-0.0141448974609375,1443223684.96747,0.5807046294212341,100,IP6_BEACON_20,113.619384765625,-4.106643676757812,110.3426284790039,1443223684.955867,-0.015625,12.81653,LWBAND-42E2,1443223684.870928,1,23,0.7485590238790328,-0.03125,0.5777025483542547,-0.015625,11.6536,LWBAND-3D1E,1443223684.877083,1.015625,22,0.7456988092681414,-0.015625,0.5865101368476081,0.015625,9.789717,LWBAND-408D,1443223684.950011,0.984375,23,0.7400434553516982,-0.015625,0.5684723452303257,1443223685223,,,,,,,,,,,
1443223685225,d0b30aa0501d9257,item,IP6_BEACON_20,1443223684965,0.5867182298599558,0.7424566405321928,0.5867182298599558,1443223684.964905,,,,,,,,,,,,,,,100,IP6_BEACON_20,,,,,-0.015625,13.3587,LWBAND-42E2,1443223684.956722,1.015625,23,0.7424566405321928,-0.03125,0.5867182298599558,,,,,,,,,,,,,,,,,,,1443223685225,,,,,,,,,,,
1443223686149,12267eb9c2f9ff07,item,IP6_BEACON_20,1443223685103,0.5833618867677938,0.7410655767717307,0.5842031374924495,1443223685.103419,0.015625,12.66156,LWBAND-39EC,1443223685.003396,0.984375,22,0.7452919904960366,-0.015625,0.5684723452303257,-0.00103759765625,-1.004470825195312,-0.015045166015625,1443223685.084994,0.5799968838691711,100,IP6_BEACON_20,113.619384765625,-3.856552124023438,107.8900604248047,1443223685.058095,-0.015625,13.66837,LWBAND-42E2,1443223685.048007,1.03125,23,0.7428603689936024,-0.015625,0.5955291327186829,0,12.58407,LWBAND-3D1E,1443223684.969389,1.03125,22,0.7408461055201925,-0.015625,0.5954608028311631,0,10.48914,LWBAND-408D,1443223685.042622,1,23,0.735263842077091,0,0.5773502691896257,1443223686149,0,0,-71.07504489838246,1443223685.046261,30,42.36778824128431,,,,,
1443223686152,5d54a276ef1da1b4,item,IP6_BEACON_20,1443223685107,0.5955291327186829,0.7404445629155745,0.5955291327186829,1443223685.107167,,,,,,,,,,,,,,,100,IP6_BEACON_20,,,,,,,,,,,,,,0.015625,12.66156,LWBAND-3D1E,1443223685.101583,1.03125,22,0.7404445629155745,-0.015625,0.5955291327186829,,,,,,,,,,1443223686152,,,,,,,,,,,
1443223686157,3f22c72435e536a9,item,IP6_BEACON_20,1443223685166,0.5778719904292081,0.7392791265234699,0.5775264087719403,1443223685.165986,0.03125,12.66156,LWBAND-39EC,1443223685.126273,1,22,0.7444796831494468,-0.015625,0.5777025483542547,-0.0003204345703125,-1.001983642578125,-0.01531982421875,1443223685.202499,0.5785631537437439,100,IP6_BEACON_20,113.8535003662109,-3.387580871582031,106.2633666992188,1443223685.159266,,,,,,,,,,,,,,,,,,,0,10.56681,LWBAND-408D,1443223685.147147,1,23,0.7340785698974932,0,0.5773502691896257,1443223686157,,,,,,,,,,,
